id_avaliacao,id_pedido,id_servico,nota,comentario,data_criacao
46,1,1,4.5,"Serviço excelente!","2025-05-26 21:42:00"
47,3,7,5.0,"Consultoria muito profissional.","2025-05-26 21:42:00"
48,5,13,4.0,"Interface muito intuitiva.","2025-05-26 21:42:00"
49,6,15,3.5,"Jogo divertido, mas com bugs.","2025-05-26 21:42:00"
50,8,12,4.8,"Ótimas dicas para estilo.","2025-05-26 21:42:00"
51,10,9,4.2,"Aplicativo rápido e estável.","2025-05-26 21:42:00"
52,12,11,3.8,"Vídeo ficou bom, poderia melhorar no áudio.","2025-05-26 21:42:00"
53,14,2,4.9,"Site ficou moderno e responsivo.","2025-05-26 21:42:00"
54,2,4,4.1,"SEO realmente melhorou o tráfego.","2025-05-26 21:42:00"
55,4,10,3.9,"Fotos boas, mas faltou diversidade de ângulos.","2025-05-26 21:42:00"
56,7,3,4.3,"Tradução precisa e rápida.","2025-05-26 21:42:00"
57,9,5,3.5,"Fotografia agradou o cliente.","2025-05-26 21:42:00"
58,11,6,4.7,"Edição dinâmica e criativa.","2025-05-26 21:42:00"
59,13,8,4.0,"Gestão das redes funcionou bem.","2025-05-26 21:42:00"
