id_servico,id_usuario,titulo,descricao,preco,data_criacao
1,2,"Criação de logotipo","Desenvolvo logotipos personalizados para sua marca.",300.00,"2025-05-26 21:37:18"
2,3,"Website responsivo","Criação de site moderno e responsivo para empresas.",1200.00,"2025-05-26 21:37:18"
3,6,"Tradução de documentos","Tradução profissional de documentos técnicos.",150.00,"2025-05-26 21:37:18"
4,8,"Otimização SEO","Melhore o ranking do seu site com técnicas avançadas.",700.00,"2025-05-26 21:37:18"
5,10,"Fotografia de eventos","Cobertura fotográfica profissional para eventos.",900.00,"2025-05-26 21:37:18"
6,11,"Edição de vídeos","Edição e montagem de vídeos para YouTube e redes sociais.",500.00,"2025-05-26 21:37:18"
7,12,"Consultoria de imagem","Sessões para melhorar seu estilo pessoal e profissional.",350.00,"2025-05-26 21:37:18"
8,13,"Gestão de redes sociais","Criação e gerenciamento de conteúdo para redes sociais.",600.00,"2025-05-26 21:37:18"
9,14,"Assistente virtual","Organização de agendas, emails e tarefas administrativas.",400.00,"2025-05-26 21:37:18"
10,15,"Desenvolvimento de jogos","Criação de jogos independentes para plataformas variadas.",2000.00,"2025-05-26 21:37:18"
11,16,"Planejamento financeiro","Consultoria para gestão financeira pessoal e empresarial.",450.00,"2025-05-26 21:37:18"
12,17,"Coaching de carreira","Sessões para desenvolvimento profissional e pessoal.",550.00,"2025-05-26 21:37:18"
13,9,"App mobile iOS/Android","Desenvolvimento de aplicativos móveis personalizados.",2500.00,"2025-05-26 21:37:18"
14,7,"Campanhas de marketing digital","Criação e execução de campanhas para aumentar vendas.",800.00,"2025-05-26 21:37:18"
15,4,"Design UX/UI","Criação de interfaces focadas na experiência do usuário.",1000.00,"2025-05-26 21:37:18"
